ID,borough,nearby_park_or_place,type_of_place_nearby,intersection,notes,Longitude,Latitude
1,Saint-Léonard,Delorme,Bocce,rue Loranger/rue Péguy,,-73.589462375603,45.5920117541965
2,Saint-Léonard,Delorme,Pavilion,rue Loranger/rue Péguy,,-73.5900550494669,45.5921889147626
3,Saint-Léonard,Delorme,Pavilion,rue Loranger/rue Péguy,,-73.590040938345,45.5921810073908
4,Saint-Léonard,Delorme,Mountain,rue Loranger/rue Péguy,,-73.5890077418093,45.5907806932441
5,Saint-Léonard,Delorme,Basketball and Soccer,entrée boulevard Robert,,-73.5915819002069,45.5925740874714
6,Saint-Léonard,Ferland,Pavilion,rue Belcourt /boulevard Lavoisier,,-73.5984647530588,45.5961980909595
7,Saint-Léonard,Ferland,Pool,rue Belcourt /boulevard Lavoisier,Restricted Access,-73.5981981170499,45.5960352715738
8,Saint-Léonard,Pie-XII,Bocce,rue Jean-Marie Lefebvre/boul. Lavoisier,,-73.6059972563072,45.5900956399991
9,Saint-Léonard,Pie-XII,Basketball,rue Dujarié/rue Le Corbusier,,-73.6060284435696,45.5894381057632
10,Saint-Léonard,Pie-XII,Pool,rue Dujarié/rue de Nevers,Restricted Access,-73.6068224849356,45.5890746447919
11,Saint-Léonard,Pie-XII,Pool,rue Dujarié/rue de Nevers,Restricted Access,-73.6068315662484,45.5890650981076
12,Saint-Léonard,Coubertin,Pavilion,rue Valéry/rue Narbonne,,-73.6100041217273,45.5839130808075
13,Saint-Léonard,Coubertin,Pavilion,rue Valéry/rue Narbonne,,-73.6100040937848,45.5838987735332
14,Saint-Léonard,Luigi-Pirandello,Bocce,rue Jean-Rivard/rue de Nice,,-73.6035641400041,45.5780721805316
15,Saint-Léonard,Hébert (Stade),Baseball,rue Colbert/boul. Métropolitain Est,,-73.5941673390367,45.5737277378482
16,Saint-Léonard,Hébert (Stade),Soccer,rue de Viterbe/rue de Viterbe,,-73.5923116621237,45.5732411836133
17,Saint-Léonard,Hébert (Stade),Pavilion,rue Colbert/boul. Provencher,,-73.5919814726014,45.5722136618172
18,Saint-Léonard,Hébert (Stade),Stadium (entry from the basement),rue Colbert/boul. Métropolitain Est,,-73.5932939085551,45.5736529585964
19,Saint-Léonard,Hébert (Parc),Pool,rue Colbert/boul. Provencher,Restricted Access,-73.5923881127418,45.5724354122334
20,Saint-Léonard,Hébert (Parc),Pool,rue Colbert/boul. Provencher,Restricted Access,-73.5924035942125,45.5724223521469
21,Saint-Léonard,Hébert (Parc),Pool,rue Colbert/boul. Provencher,Restricted Access,-73.5925605285234,45.5726463732631
22,Saint-Léonard,Hébert (Parc),Pool,rue Colbert/boul. Provencher,Restricted Access,-73.592533862021,45.5726361367813
23,Saint-Léonard,Hébert (Parc),Pool,rue Colbert/boul. Provencher,Restricted Access,-73.5925146265321,45.5726258042923
24,Saint-Léonard,Hébert (Parc),Pool,rue Colbert/boul. Provencher,Restricted Access,-73.5924906525568,45.5726167354014
25,Saint-Léonard,Hébert (Parc),Sandbox,rue Colbert/boul. Provencher,,-73.5925672274284,45.5720446501215
26,Saint-Léonard,Ladauversière,Bocce,rue de Meudon/boul. Lacordaire,,-73.5836212582356,45.5813032552857
27,Saint-Léonard,Ladauversière,Pool,rue de Meudon/boul. Lacordaire,Restricted Access,-73.5831753467495,45.5815818084528
28,Saint-Léonard,Ladauversière,Pool,rue de Meudon/boul. Lacordaire,Restricted Access,-73.5826505511845,45.5818120960631
29,Saint-Léonard,Ladauversière,Pool,rue de Meudon/boul. Lacordaire,Restricted Access,-73.5825407914425,45.5818530277291
30,Saint-Léonard,Ladauversière,Pool,rue de Meudon/boul. Lacordaire,Restricted Access,-73.5831346339605,45.5815200197243
31,Saint-Léonard,Ladauversière,Baseball,rue Jean-Talon Est/rue de Pontoise,,-73.5808727253446,45.5824710546093
32,Saint-Léonard,Giuseppe-Garibaldi,Pool,rue de Côme/rue La Dauversière,Restricted Access,-73.5720554549725,45.586726764106
33,Saint-Léonard,Giuseppe-Garibaldi,Pavilion,rue de Côme/rue La Dauversière,,-73.5722386990733,45.5863128166389
34,Saint-Léonard,Giuseppe-Garibaldi,Pavilion,rue de Côme/rue La Dauversière,,-73.5722725434083,45.586321793531
35,Saint-Léonard,Giuseppe-Garibaldi,Baseball,rue Liénard/rue La Dauversière,,-73.573825856362,45.5863819887031
36,Saint-Léonard,Saint-Léonard,Stage Pavilion,boul. Lacordaire/rue des Galets,,-73.5946773947037,45.5859184052737
37,Saint-Léonard,Saint-Léonard,Stage Pavilion,boul. Lacordaire/rue des Galets,,-73.5945994705437,45.5858381150145
38,Saint-Léonard,Saint-Léonard,Stage Pavilion,boul. Lacordaire/rue des Galets,,-73.5945097246301,45.585967944774
39,Saint-Léonard,Saint-Léonard,Stage Pavilion,boul. Lacordaire/rue des Galets,,-73.5944713944749,45.5858842922942
40,Saint-Léonard,aréna Martin-Brodeur,Soccer,rue des Galets/rue de l'Aunis,,-73.5984285768339,45.5859888409044
41,Saint-Léonard,aréna Martin-Brodeur,Ice Rink,rue des Galets/rue de l'Aunis,,-73.5986417349467,45.5849130902329
42,Saint-Léonard,aréna Martin-Brodeur,Ice Rink,rue des Galets/rue de l'Aunis,,-73.5985866818955,45.5849428321497
43,Ahuntsic-Cartierville,Prieur,Community Garden,rue Sackville/rue Prieur Est,Restricted Access,-73.6492557330476,45.5779311872942
44,Ahuntsic-Cartierville,,Community Garden,rue Frémont/avenue De Chateaubriand,Restricted Access,-73.6517253756271,45.5526940005986
45,Ahuntsic-Cartierville,,Community Garden,rue Deschamps/rue Letellier,Restricted Access,-73.6947896703629,45.54433039908
46,Ahuntsic-Cartierville,,Community Garden,rue Deschamps/rue Letellier,Restricted Access,-73.694770687498,45.5443958495668
47,Ahuntsic-Cartierville,du Petit-Bois-Franc,Community Garden,rue Dudemaine/rue Grenet,Restricted Access,-73.7062448098801,45.5245019742243
48,Ahuntsic-Cartierville,Ahuntsic (près de),Community Garden,avenue Durham/boul. Henri-Bourassa Est,Restricted Access,-73.6660281500602,45.5570096029911
49,Ahuntsic-Cartierville,Marcelin-Wilson,Community Garden,avenue Marcelin-Wilson/rue Defoy,Restricted Access,-73.6829442674349,45.5373640079733
50,Ahuntsic-Cartierville,Saint-Sulpice (JC),Community Garden,ave Émile-Journault/ave André-Grasset,Restricted Access,-73.6353215573431,45.5572512175254
51,Ahuntsic-Cartierville,Saint-Sulpice (JC),Community Garden,ave Émile-Journault/ave André-Grasset,Restricted Access,-73.6359696810356,45.5565590150628
52,Ahuntsic-Cartierville,Du Sault-au-Récollets (JC),Community Garden,rue du Pressoir (tourne-bride)/boul. Gouin Est,Restricted Access,-73.6597333507135,45.5762499897693
53,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,-73.6666752827003,45.5561106256678
54,Ahuntsic-Cartierville,Avila-Vidal,Playground,rue Filion/rue de la Paix,,-73.6956836482083,45.5294523034188
